ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
149	47510	4751001	Kahindi	81	90,65984416	23,75713224	90,65984416	23,75713224	Mouza loc
150	47510	4751002	Khandakar Kalagachhia	34	90,65984416	23,75713224	90,65984416	23,75413224	Mouza loc
151	47510	4751003	Ramnagar	16	90,65984416	23,75713224	90,65364378	23,75681805	Vill Loc for Lex1
152	47527	4752701	Kalagachhia	180	90,65076958	23,76466047	90,64108083	23,76452295	Vill Loc for Lex1
153	47527	4752702	Nagarjoar	15	90,65076958	23,76466047	90,64336034	23,76809612	Vill Loc for Lex1
154	47553	4755301	Kamaldi	36	90,67109364	23,75713224	90,67109364	23,75413224	Mouza loc
155	47553	4755302	Narandi	175	90,67109364	23,75713224	90,62523739	23,7807299	6000_BAMWSP3
156	47553	4755304	Ilamdi	57	90,67109364	23,75713224	90,66379583	23,74998738	lat long all
157	47645	4764501	Madhabdi	99	90,66194407	23,73886935	90,66194407	23,73286935	Mouza loc
158	47645	4764502	Kanda Para	6	90,66194407	23,73886935	90,66194407	23,73586935	Mouza loc
159	47645	4764503	Daldirkanda	19	90,66194407	23,73886935	90,66194407	23,73886935	Mouza loc
160	47806	4780601	Roynadi	44	90,64506987	23,75755049	90,64561701	23,75425931	Vill Loc for Lex1
161	47806	4780602	Tuterbhag	34	90,64506987	23,75755049	90,6444738	23,75860692	lat long all
162	47865	4786501	Sendi	65	NA	NA	90,6594692	23,74563082	Mouza loc
163	47865	4786502	Sendi Hajibari	13	NA	NA	90,6594692	23,74263082	Mouza loc
164	47887	4788701	Sinhadi	97	90,6594692	23,74563082	90,65069459	23,7401911	Mouza loc
165	47887	4788702	Asarampur	31	90,6594692	23,74563082	90,64039286	23,74507996	lat long all
166	47946	4794601	Tilchandi	66	90,65069459	23,7431911	90,65872073	23,76075291	Vill Loc for Lex1
167	47973	4797301	Udoydi	60	90,66419397	23,75601694	90,62859089	23,75312355	Vill Loc for Lex1
168	47999	4799999	Sarapdi	37	90,63157049	23,75260139	NA	NA	
169	55155	5515501	Bibirkandi	17	90,71639153	23,72534645	90,71639153	23,72534645	Mouza loc
170	55473	5547301	Jhukandi	122	90,70701698	23,70575911	90,70701698	23,70575911	Mouza loc
171	55473	5547302	Madhyachar	125	90,70701698	23,70575911	90,70701698	23,70275911	Mouza loc
172	55473	5547303	Purbakandi	65	90,70701698	23,70575911	90,70701698	23,69975911	Mouza loc
173	55500	5550001	Kadmir Char	50	90,72726605	23,71321763	90,72726605	23,71021763	Mouza loc
