month,day,hour,Wind speed,site2,site4
4,30,0,8.1,8.5552,10.6834
4,30,6,3.9,2.246,1.333
4,30,12,7.5,8.2771,3.1749
6,1,0,8.2,11.3396,7.3333
6,1,6,6.7,8.6547,6.845
6,1,12,7.9,8.7516,8.3228
6,1,18,5.4,6.8882,9.1108
6,2,0,5.4,2.3357,5.3043
6,2,6,11.3,8.6352,8.8665
6,2,12,14.5,11.3022,8.4189
6,2,18,13,9.0863,8.6345
6,3,0,14.9,11.5128,9.5646
6,3,6,11.4,8.7696,9.8483
6,3,12,5.7,10.2117,8.2108
6,3,18,4.9,4.4322,5.1442
6,4,0,3.6,3.9654,3.6191
6,4,6,3.6,5.0017,5.758
6,4,12,4.5,2.5157,1.895
6,4,18,12.3,3.5171,2.188
6,5,0,8.2,7.9653,4.7825
6,5,6,5.3,4.1231,4.1091
6,5,12,1.4,3.2544,3.9568
6,5,18,7.1,3.1232,0.8936
6,6,0,7.4,6.0821,6.1605
6,6,6,12.7,8.8775,8.3334
6,6,12,10.1,11.7145,13.1008
6,6,18,5.3,3.6363,10.3456
6,7,0,3,11.7453,7.9365
6,7,6,6,9.0133,7.6085
6,7,12,8.5,9.824,8.0403
6,7,18,8.8,4.8085,5.201
6,8,0,8.4,3.25,5.701
6,8,6,9.5,1.0412,5.3961
6,8,12,9.5,7.9135,4.8622
6,8,18,15.6,10.6674,6.9871
6,9,0,19.4,14.3039,9.9123
6,9,6,17.6,16.9332,16.2145
6,9,12,12.1,16.9622,12.3773
6,9,18,14,7.2446,10.7782
6,10,0,13.6,8.7826,7.734
6,10,6,12,8.631,6.3961
6,10,12,9.1,6.8971,4.2532
6,10,18,12.6,0.8936,7.7037
6,11,0,11,8.0162,2.6152
6,11,6,6.2,7.3498,7.0324
6,11,12,4.9,6.4374,2.2854
6,11,18,7.7,5.9171,4.3149
6,12,0,12,10.0005,4.8042
6,12,6,3.7,8.1468,4.8877
6,12,12,7.6,12.2389,10.3321
6,12,18,17,8.9289,8.7978
6,13,0,10.7,14.1539,11.62
6,13,6,11.3,9.4035,6.0712
6,13,12,10.9,9.278,7.3637
