stateabb,ccode,year,irst,milex,milper,pec,tpop,upop,cinc,version
UKG,200,1949,15803,3137333,770,237129,50324,18907,0.0707876,4
UKG,200,1950,16554,2376154,689,190014,50616,18995,0.0613487,4
UKG,200,1951,15889,3215782,826,211603,50562,19176,0.0585345,4
UKG,200,1952,16681,4340931,872,214654,50723,19098,0.0575083,4
UKG,200,1953,17891,4582745,865,221983,50862,19002,0.0560323,4
UKG,200,1954,18817,4409778,839,226613,51046,18997,0.0565141,4
UKG,200,1955,20108,4363684,809,232194,51199,18924,0.0505929,4
UKG,200,1956,20990,4527611,761,232317,51406,18874,0.0492237,4
UKG,200,1957,22047,4383177,702,226407,51632,18824,0.0473189,4
UKG,200,1958,19880,4469098,614,221539,51842,18771,0.0452031,4
UKG,200,1959,20510,4452225,565,216779,52128,18717,0.0420319,4
UKG,200,1960,24695,4633255,519,235677,52372,18674,0.0423343,4
UKG,200,1961,22441,4791138,475,241081,52807,18648,0.0400909,4
UKG,200,1962,20820,5092642,475,240903,53292,18627,0.0376892,4
UKG,200,1963,22880,5239560,450,247799,53625,18602,0.0371322,4
UKG,200,1964,26643,5592841,435,248282,53991,18908,0.0368837,4
UKG,200,1965,27421,5832633,425,254766,54350,21343,0.0370771,4
UKG,200,1966,27686,6032499,425,256902,54643,21939,0.0353643,4
UKG,200,1967,24257,6348674,425,244888,54959,22097,0.0327035,4
UKG,200,1968,26255,5611164,410,262101,55214,22252,0.0313586,4
UKG,200,1969,26822,5489866,390,280221,55461,22407,0.0301955,4
UKG,200,1970,28291,5866538,390,353461.4,55632,21935,0.0294795,4
UKG,200,1971,24153,6853483,370,365658.9,55928,21462,0.0284799,4
UKG,200,1972,25293,8151113,370,356822,56097,21362,0.0279088,4
UKG,200,1973,26594,8612065,377,374661.9,56223,21322,0.0270787,4
UKG,200,1974,22323,9730994,359,363737.2,56236,34334,0.0280416,4
UKG,200,1975,20098,11475228,348,351235.8,56226,34667,0.0275817,4
UKG,200,1976,22274,11076590,337,359711.1,56216,35000,0.0269635,4
UKG,200,1977,20411,11886891,326,357600.8,56190,34921,0.0258769,4
UKG,200,1978,20311,14618042,320,365836.8,56178,34831,0.0256199,4
UKG,200,1979,21464,19175649,324,383706.3,56240,34741,0.0263579,4
UKG,200,1980,11277,26757385,330,353149.3,56330,34994,0.02491,4
UKG,200,1981,15573,25691234,341,335492.1,56352,35247,0.0248329,4
UKG,200,1982,13704,24169041,335,330187,56318,35501,0.0234384,4
UKG,200,1983,14986,24873196,333,337961.8,56377,35754,0.0233773,4
UKG,200,1984,15121,23294855,336,427511.9,56506,36007,0.0222895,4
UKG,200,1985,15722,24200000,334,475825.2,56685,36260,0.0230371,4
UKG,200,1986,14725,27344000,331,489247.3,56852,40788,0.0234791,4
UKG,200,1987,17414,31774000,328,489076.2,57009,45315,0.0247009,4
UKG,200,1988,18950,31910000,324,495547.4,57158,45914,0.024348,4
UKG,200,1989,18744,31270000,318,517411.8,57358,46507,0.0254856,4
UKG,200,1990,16464,38520000,308,510526.7,57561,46950,0.0252901,4
UKG,200,1991,16632,40430000,301,533199.4,57801,46681,0.0264498,4
UKG,200,1992,16008,42330000,293,541635.5,58006,47761,0.0274765,4
UKG,200,1993,16464,34020000,271,552364.4,58191,48842,0.025656,4
UKG,200,1994,17286,35409000,257,516889.3,58395,49922,0.0247788,4
UKG,200,1995,17604,33406000,233,526065.1,58606,48440,0.0235146,4
UKG,200,1996,17992,35266000,221,541009.4,58801,52148,0.0238164,4
UKG,200,1997,18501,35736000,218,541694.1,58200,52320,0.0236465,4
UKG,200,1998,17315,38093000,218,530526.5,58649,52493,0.0238024,4
UKG,200,1999,16298,36368000,218,486833.6,58744,52666,0.0225393,4
UKG,200,2000,15155,35655000,212,572128.4,58830,52956,0.0220596,4
UKG,200,2001,13543,34714000,211,584162.1,59113,53247,0.021316,4
UKG,200,2002,11667,38141000,210,589509.7,59323,53540,0.0210077,4
UKG,200,2003,13268,43311000,213,608980,59557,53834,0.0205742,4
UKG,200,2004,13766,50120000,209,654858.1,59846,54130,0.0211505,4
UKG,200,2005,13248,56922000,205,662567.9,60238,54504,0.0219773,4
UKG,200,2006,13871,59926000,217,688107.2,60587,54880,0.0218718,4
UKG,200,2007,14317,63258000,191,684113.4,60975,55259,0.0211575,4
IRE,205,1922,0,33046,22,2370,3022,270,0.0025104,4
IRE,205,1923,0,51771,20,2370,3014,281,0.0032452,4
IRE,205,1924,0,17781,20,2521,3005,292,0.0023866,4
IRE,205,1925,0,14462,18,2275,2985,304,0.0020267,4
IRE,205,1926,0,14390,12,1784,2972,394,0.001896,4
IRE,205,1927,0,9219,13,2537,2957,402,0.0017401,4
IRE,205,1928,0,7314,10,2444,2944,411,0.001519,4
IRE,205,1929,0,5820,7,2508,2937,424,0.001367,4
IRE,205,1930,0,5355,6,2555,2927,432,0.0013229,4
IRE,205,1931,0,5825,6,2470,2933,439,0.0013488,4
IRE,205,1932,0,4117,6,2362,2949,443,0.0013415,4
IRE,205,1933,0,4034,6,2325,2962,459,0.0013001,4
IRE,205,1934,0,6650,6,2401,2971,464,0.0012842,4
IRE,205,1935,0,6429,6,2311,2971,469,0.0011772,4
IRE,205,1936,0,6958,6,2548,2963,473,0.0011781,4
IRE,205,1937,0,7415,6,2642,2950,475,0.0011288,4
IRE,205,1938,0,8313,6,2571,2940,477,0.0011059,4
IRE,205,1939,0,10942,8,2972,2930,482,0.0011013,4
IRE,205,1940,0,17684,8,2856,2960,488,0.0010421,4
IRE,205,1941,0,19463,8,1567,2990,490,0.000951,4
IRE,205,1942,0,24987,9,1115,2960,492,0.0008939,4
IRE,205,1943,0,28391,10,1086,2950,495,0.0008769,4
IRE,205,1944,0,31269,10,795,2940,497,0.0008083,4
IRE,205,1945,0,34923,11,994,2950,503,0.0008134,4
IRE,205,1946,6,37842,11,1367,2960,506,0.001071,4
IRE,205,1947,9,23359,11,1609,2970,508,0.0009737,4
IRE,205,1948,16,18083,11,1811,2985,512,0.0009568,4
IRE,205,1949,16,18123,13,1754,2981,515,0.0009136,4
IRE,205,1950,16,13714,13,3133,2969,519,0.000972,4
IRE,205,1951,14,16233,13,3289,2961,522,0.0009253,4
IRE,205,1952,15,20857,13,3058,2953,524,0.0008529,4
IRE,205,1953,16,25007,13,2943,2949,527,0.0008281,4
IRE,205,1954,15,23609,13,2689,2941,528,0.0007832,4
IRE,205,1955,18,22556,13,3106,2921,530,0.0007489,4
IRE,205,1956,19,22147,13,2607,2898,545,0.0007066,4
IRE,205,1957,22,22556,13,2553,2885,559,0.0006928,4
IRE,205,1958,25,23315,13,2210,2853,574,0.0006673,4
IRE,205,1959,23,24096,13,4218,2846,588,0.0007334,4
IRE,205,1960,30,25756,13,4868,2832,603,0.0007395,4
IRE,205,1961,28,27754,6,5180,2818,617,0.0006783,4
IRE,205,1962,19,29478,7,5232,2830,632,0.0006596,4
IRE,205,1963,20,31662,8,5256,2850,646,0.0006494,4
IRE,205,1964,53,32159,8,5476,2864,661,0.0006535,4
IRE,205,1965,53,34589,8,5439,2876,675,0.0006408,4
IRE,205,1966,56,36425,8,4984,2884,690,0.0006051,4
IRE,205,1967,65,39609,8,6483,2900,691,0.000634,4
IRE,205,1968,68,35852,8,6495,2922,692,0.0006059,4
IRE,205,1969,81,41478,8,6486,2926,692,0.0005915,4
IRE,205,1970,80,51836,8,8057.508,2950,693,0.000574,4
IRE,205,1971,80,62074,9,8241.205,2978,694,0.0005799,4
IRE,205,1972,77,82812,9,7779.395,3024,691,0.0005606,4
IRE,205,1973,116,95145,10,7545.166,3073,687,0.000557,4
IRE,205,1974,110,116725,11,7965.555,3124,684,0.0005612,4
IRE,205,1975,81,129971,11,7305.012,3177,681,0.0005376,4
IRE,205,1976,58,129697,14,6669.837,3228,678,0.0005251,4
IRE,205,1977,47,146797,13,7360.233,3272,674,0.0005199,4
IRE,205,1978,69,182342,14,6878.472,3314,671,0.0005194,4
IRE,205,1979,72,250371,14,8392.431,3368,668,0.0005454,4
IRE,205,1980,2,334962,19,8204.382,3401,664,0.0005667,4
IRE,205,1981,32,265172,19,7252.56,3440,661,0.0005307,4
IRE,205,1982,61,333214,21,7938.299,3480,655,0.0005642,4
IRE,205,1983,141,303897,18,9439.138,3504,650,0.0005691,4
IRE,205,1984,166,283419,13,9567.145,3529,644,0.0004972,4
IRE,205,1985,203,295170,14,10274.42,3540,639,0.0005158,4
IRE,205,1986,208,417880,14,10481.88,3541,633,0.0005286,4
IRE,205,1987,220,434520,14,11456.79,3543,627,0.000528,4
IRE,205,1988,200,386240,13,11891.79,3538,622,0.0004969,4
IRE,205,1989,324,375760,13,12131.88,3515,616,0.0005322,4
IRE,205,1990,325,508210,13,12510.31,3503,611,0.0005431,4
IRE,205,1991,293,512840,13,12623.58,3526,605,0.0005525,4
IRE,205,1992,257,640300,13,12873.24,3549,606,0.0005824,4
IRE,205,1993,326,543000,13,13014.74,3574,607,0.0005775,4
IRE,205,1994,266,633000,17,13548.59,3586,607,0.0005991,4
IRE,205,1995,310,688000,17,13779.48,3601,608,0.0006114,4
IRE,205,1996,341,757000,17,14348.39,3626,609,0.0006285,4
IRE,205,1997,337,767000,17,15608.77,3661,611,0.0006357,4
IRE,205,1998,358,737000,17,16060.29,3681,612,0.0006411,4
IRE,205,1999,335,745000,14,15973.1,3705,614,0.0006068,4
IRE,205,2000,360,629000,12,17625.36,3730,616,0.0005699,4
IRE,205,2001,150,623000,10,18192.74,3839,617,0.000515,4
IRE,205,2002,-9,673000,10,18088.92,3917,619,0.0005832,4
IRE,205,2003,-9,803000,10,22706.2,3979,634,0.0006135,4
IRE,205,2004,-9,919000,10,17217.88,4044,649,0.0005782,4
IRE,205,2005,-9,948000,10,18289.28,4131,664,0.0005936,4
IRE,205,2006,-9,1113000,10,18808.26,4235,679,0.0006131,4
IRE,205,2007,-9,1329000,10,19366.65,4339,695,0.0006346,4
NTH,210,1816,50,2375,26,1142,5610,337,0.0399142,4
NTH,210,1817,50,2450,27,1199,5672,342,0.0405668,4
NTH,210,1818,50,2298,27,1259,5721,346,0.0404779,4
NTH,210,1819,50,2004,27,1322,5788,350,0.0393862,4
NTH,210,1820,60,1941,27,1388,5845,355,0.0401098,4
NTH,210,1821,60,1732,27,1458,5898,359,0.0387039,4
NTH,210,1822,60,1702,27,1531,5940,363,0.0392707,4
NTH,210,1823,70,1678,28,1607,5986,367,0.0395377,4
NTH,210,1824,70,1613,28,1688,6032,370,0.0388481,4
NTH,210,1825,70,1547,28,1772,6097,374,0.0383989,4
NTH,210,1826,80,1501,28,1861,6153,377,0.0398126,4
NTH,210,1827,80,1439,29,1954,6207,382,0.0379118,4
NTH,210,1828,80,1346,29,2051,6280,386,0.0375689,4
NTH,210,1829,80,1292,29,2154,6344,390,0.037108,4
NTH,210,1830,90,2563,30,517,6427,393,0.0336437,4
NTH,210,1831,0,3431,80,543,2707,203,0.0229874,4
NTH,210,1832,0,3763,38,590,2738,204,0.0215611,4
NTH,210,1833,0,3012,38,573,2750,205,0.019783,4
NTH,210,1834,0,2542,32,526,2771,206,0.0181304,4
NTH,210,1835,0,1856,32,568,2793,207,0.0159065,4
NTH,210,1836,0,1809,32,695,2804,208,0.0158219,4
NTH,210,1837,0,1785,43,722,2826,209,0.0166507,4
NTH,210,1838,0,1711,32,758,2853,211,0.0152783,4
NTH,210,1839,0,1639,32,824,2861,212,0.0146699,4
NTH,210,1840,0,1522,22,933,2880,213,0.0130472,4
NTH,210,1841,0,1424,24,892,2910,214,0.012445,4
NTH,210,1842,0,1449,26,924,2940,215,0.0125444,4
NTH,210,1843,0,1356,28,872,2970,216,0.0122453,4
NTH,210,1844,0,1452,30,938,3000,218,0.0126826,4
NTH,210,1845,0,1435,32,996,3040,219,0.0127356,4
NTH,210,1846,0,1411,32,1082,3060,220,0.0118814,4
NTH,210,1847,0,1438,33,1458,3050,221,0.0127529,4
NTH,210,1848,0,1417,32,1375,3050,222,0.0120034,4
NTH,210,1849,0,1416,31,1256,3060,224,0.0114292,4
NTH,210,1850,0,1322,30,1182,3000,235,0.0110223,4
NTH,210,1851,0,1346,30,1175,3050,246,0.0112709,4
NTH,210,1852,0,1336,29,1419,3140,259,0.0113032,4
NTH,210,1853,0,1359,31,1571,3150,272,0.0113893,4
NTH,210,1854,0,1374,33,2241,3180,285,0.0106615,4
NTH,210,1855,0,1616,38,1752,3210,300,0.0100311,4
NTH,210,1856,0,1631,38,1780,3230,315,0.010071,4
NTH,210,1857,0,1617,38,1589,3270,331,0.0110733,4
NTH,210,1858,0,1658,38,1398,3290,347,0.0111191,4
NTH,210,1859,0,1646,38,1328,3310,365,0.0102975,4
NTH,210,1860,0,1775,39,1808,3320,367,0.0094372,4
NTH,210,1861,0,1853,39,1660,3350,370,0.008153,4
NTH,210,1862,0,1612,39,2138,3390,372,0.0082049,4
NTH,210,1863,0,1790,39,1542,3430,375,0.0074594,4
NTH,210,1864,0,1817,39,1285,3470,377,0.0068446,4
NTH,210,1865,0,1841,39,1451,3510,380,0.008076,4
NTH,210,1866,0,1833,38,1593,3540,383,0.0081839,4
NTH,210,1867,0,2457,38,1527,3570,385,0.0087071,4
NTH,210,1868,0,2053,39,1603,3610,388,0.0083872,4
NTH,210,1869,0,2006,39,1651,3610,391,0.008479,4
NTH,210,1870,0,1920,39,1836,3600,404,0.007814,4
NTH,210,1871,0,1910,39,1849,3630,389,0.0074524,4
NTH,210,1872,0,1990,39,1980,3660,433,0.0084709,4
NTH,210,1873,0,2199,39,1900,3690,448,0.0083622,4
NTH,210,1874,0,2339,40,1751,3740,464,0.008505,4
NTH,210,1875,0,2683,41,2009,3790,480,0.0090089,4
NTH,210,1876,0,3147,41,2309,3840,497,0.0090383,4
NTH,210,1877,0,3073,39,2359,3890,515,0.0086386,4
NTH,210,1878,0,2991,40,2500,3950,533,0.0086492,4
NTH,210,1879,0,2634,40,2693,4010,552,0.0089581,4
NTH,210,1880,0,2759,41,2980,4050,569,0.0091501,4
NTH,210,1881,0,2669,43,2998,4090,597,0.0088892,4
NTH,210,1882,0,2769,44,3036,4140,605,0.0088196,4
NTH,210,1883,0,2855,45,3366,4200,624,0.0093008,4
NTH,210,1884,0,2811,46,3369,4250,643,0.0090878,4
NTH,210,1885,0,2661,46,3526,4310,663,0.0089727,4
NTH,210,1886,0,2669,44,3669,4360,684,0.0089802,4
NTH,210,1887,0,2736,37,3725,4420,705,0.0085906,4
NTH,210,1888,0,2787,38,4127,4480,727,0.0083854,4
NTH,210,1889,0,2889,38,4025,4530,767,0.0085208,4
NTH,210,1890,0,2881,42,3896,4540,780,0.0083486,4
NTH,210,1891,0,2923,34,4519,4590,812,0.0083546,4
NTH,210,1892,0,2927,30,4305,4650,830,0.0081374,4
NTH,210,1893,0,3178,29,4353,4700,880,0.0083115,4
NTH,210,1894,0,3116,29,4408,4760,916,0.008141,4
NTH,210,1895,0,3046,29,4395,4830,954,0.007963,4
NTH,210,1896,0,3327,29,4712,4890,993,0.0082361,4
NTH,210,1897,0,3257,29,4933,4970,1034,0.0078576,4
NTH,210,1898,0,3133,29,4872,5040,1076,0.0073922,4
NTH,210,1899,0,3117,29,5036,5110,1121,0.0073409,4
NTH,210,1900,0,3137,31,5543,5160,1142,0.0070613,4
NTH,210,1901,0,3254,31,5430,5220,1164,0.0070705,4
NTH,210,1902,0,3328,35,5443,5300,1186,0.0072028,4
NTH,210,1903,0,3409,31,5830,5390,1208,0.0071298,4
NTH,210,1904,0,3595,31,6076,5470,1244,0.0070466,4
NTH,210,1905,0,3606,34,6311,5550,1255,0.0064773,4
NTH,210,1906,0,3652,28,6797,5630,1279,0.0067458,4
NTH,210,1907,0,3633,28,7033,5710,1303,0.0067933,4
NTH,210,1908,0,3798,27,7178,5790,1328,0.0068271,4
NTH,210,1909,0,3856,27,7540,5840,1354,0.0067058,4
NTH,210,1910,0,3995,28,7914,5900,1379,0.0067416,4
NTH,210,1911,0,4045,45,8400,5980,1406,0.0070433,4
NTH,210,1912,0,4144,46,9425,6070,1442,0.0071795,4
NTH,210,1913,0,4374,45,10470,6160,1460,0.0068649,4
NTH,210,1914,0,7849,41,9848,6280,1503,0.0058024,4
NTH,210,1915,0,10145,33,9262,6390,1542,0.0049303,4
NTH,210,1916,0,17986,28,8527,6520,1589,0.0048563,4
NTH,210,1917,0,22169,23,5976,6650,1621,0.0045183,4
NTH,210,1918,0,24318,19,5328,6750,1697,0.004418,4
NTH,210,1919,0,27631,14,8305,6800,1734,0.0052333,4
NTH,210,1920,0,31907,14,8462,6850,1781,0.0055484,4
NTH,210,1921,0,38980,14,8908,6920,1818,0.0060618,4
NTH,210,1922,0,40143,15,10550,7030,1855,0.0063249,4
NTH,210,1923,0,38318,15,10566,7150,1893,0.0062449,4
NTH,210,1924,0,34959,15,11875,7260,1921,0.0067018,4
NTH,210,1925,0,38754,16,12480,7360,1959,0.0065871,4
NTH,210,1926,0,38091,16,12752,7470,2007,0.0065844,4
NTH,210,1927,0,27346,14,14305,7580,2089,0.0060561,4
NTH,210,1928,0,27243,14,14784,7680,2091,0.0057519,4
NTH,210,1929,0,30235,14,16060,7780,2093,0.0057344,4
NTH,210,1930,0,31034,14,16793,7880,2096,0.0057919,4
NTH,210,1931,0,30873,16,17488,8000,2097,0.0060692,4
NTH,210,1932,0,28300,16,16187,8120,2099,0.0062103,4
NTH,210,1933,0,25647,16,15113,8240,2101,0.005765,4
NTH,210,1934,10,38841,16,15065,8340,2104,0.0056,4
NTH,210,1935,20,51204,16,14295,8430,2109,0.005268,4
NTH,210,1936,20,55638,15,15346,8520,2112,0.0052655,4
NTH,210,1937,39,53151,16,16920,8600,2116,0.0050525,4
NTH,210,1938,57,75392,16,16743,8680,2118,0.0050909,4
NTH,210,1939,110,114233,47,15428,8780,2284,0.005362,4
NTH,210,1940,153,168422,64,12668,8880,2418,0.0050486,4
NTH,210,1945,118,193451,87,5391,9260,2604,0.0038845,4
NTH,210,1946,137,206349,100,11638,9400,2795,0.0060419,4
NTH,210,1947,196,225473,233,17417,9630,2896,0.0079913,4
NTH,210,1948,334,241020,233,18786,9800,2997,0.0083195,4
NTH,210,1949,428,255639,233,20122,9956,3096,0.0080646,4
NTH,210,1950,490,236794,226,25202,10114,3182,0.0081174,4
NTH,210,1951,554,278581,218,27876,10264,3248,0.0076385,4
NTH,210,1952,685,329303,211,28986,10382,3315,0.0073166,4
NTH,210,1953,862,349540,203,30555,10493,3391,0.0072993,4
NTH,210,1954,929,418119,196,33804,10615,3478,0.0075274,4
NTH,210,1955,981,447812,188,36438,10751,3562,0.0070863,4
NTH,210,1956,1051,484199,181,39156,10889,3604,0.0070881,4
NTH,210,1957,1185,481723,173,39912,11021,3681,0.0069896,4
NTH,210,1958,1438,436824,166,40448,11186,3707,0.0069759,4
NTH,210,1959,1670,398675,158,40487,11346,3734,0.0066679,4
NTH,210,1960,1942,458355,151,47061,11480,3760,0.0068123,4
NTH,210,1961,1971,533952,141,48814,11637,3816,0.0067848,4
NTH,210,1962,2087,607222,141,53063,11797,3822,0.0067622,4
NTH,210,1963,2342,640833,130,54688,11967,3829,0.0065851,4
NTH,210,1964,2646,739166,125,58700,12124,3865,0.0066191,4
NTH,210,1965,3138,755568,125,62572,12292,3887,0.0067614,4
NTH,210,1966,3256,772639,120,67136,12455,3908,0.0065402,4
NTH,210,1967,3402,885445,120,70675,12597,3915,0.0065306,4
NTH,210,1968,3707,912125,120,80238,12725,3922,0.0065685,4
NTH,210,1969,4721,1021076,120,96614,12873,3904,0.0070487,4
NTH,210,1970,5042,1094922,115,126390.9,13032,3991,0.0069782,4
NTH,210,1971,5083,1254568,110,129938.2,13194,3916,0.0069774,4
NTH,210,1972,5585,1522356,115,151382.8,13330,3840,0.0073271,4
NTH,210,1973,5625,1917298,111,161124,13438,3765,0.0072353,4
NTH,210,1974,5840,2285374,110,152611.1,13541,3690,0.0070701,4
NTH,210,1975,4822,2814947,107,143013.1,13653,3741,0.0068169,4
NTH,210,1976,5190,2897992,106,157771.6,13770,3792,0.0068892,4
NTH,210,1977,4927,3704519,103,151460.8,13853,3774,0.0067954,4
NTH,210,1978,5591,4225365,106,149024.2,13937,3756,0.0067756,4
NTH,210,1979,5805,5053000,107,157770.4,14030,3770,0.0068948,4
NTH,210,1980,5271,5269353,107,142807.6,14144,3767,0.006457,4
NTH,210,1981,5472,4527691,108,130209.3,14246,3763,0.0060521,4
NTH,210,1982,4354,4464019,106,115609.2,14310,3728,0.0055095,4
NTH,210,1983,4484,4527693,104,126844,14362,3712,0.0055623,4
NTH,210,1984,5739,3978642,103,284229.8,14420,3255,0.0067245,4
NTH,210,1985,5517,4040000,103,263173.4,14484,3717,0.0064667,4
NTH,210,1986,5283,5610000,106,291752.7,14564,3720,0.0068518,4
NTH,210,1987,5082,6420000,106,297051.3,14665,3744,0.0067891,4
NTH,210,1988,5518,7050000,107,309280,14758,3745,0.0068536,4
NTH,210,1989,5676,6680000,106,320661.7,14849,3815,0.0071219,4
NTH,210,1990,5408,7820000,104,318299.8,14952,3882,0.0070228,4
NTH,210,1991,5168,8290000,104,329216.1,15070,4010,0.0073363,4
NTH,210,1992,5437,8010000,90,334896.1,15184,4137,0.0073989,4
NTH,210,1993,6000,7356000,86,336833,15290,4354,0.0073805,4
NTH,210,1994,6171,7924000,77,348327.3,15383,4290,0.0073591,4
NTH,210,1995,6409,8011000,67,343388,15459,4401,0.0071569,4
NTH,210,1996,6326,8022000,64,380124.7,15531,4409,0.0072516,4
NTH,210,1997,6641,6839000,57,371933.3,15604,4626,0.0068792,4
NTH,210,1998,6377,7192000,55,377199.5,15678,4842,0.0069753,4
NTH,210,1999,6075,6193000,54,373835.7,15735,4880,0.0065765,4
NTH,210,2000,5666,6027000,52,398743.7,15786,4924,0.0063889,4
NTH,210,2001,6037,6257000,50,418435.9,16046,4967,0.0065448,4
NTH,210,2002,6117,6744000,50,388553.9,16149,5011,0.0062561,4
NTH,210,2003,6571,8414000,53,397586.8,16225,5050,0.0062858,4
NTH,210,2004,6848,9440000,53,405666.2,16282,5079,0.0061963,4
NTH,210,2005,6919,9616000,53,370466.6,16320,5107,0.0059251,4
NTH,210,2006,6372,10181000,53,358509.6,16346,5136,0.0056234,4
NTH,210,2007,7368,11141000,53,360249.1,16382,5152,0.0056463,4
BEL,211,1830,90,2964,62,1745,4077,191,0.0375648,4
BEL,211,1831,90,2906,54,1833,4090,194,0.0352793,4
BEL,211,1832,93,2847,46,1993,4103,195,0.0354142,4
BEL,211,1833,95,1978,38,1936,4150,198,0.0317531,4
BEL,211,1834,100,1669,30,1776,4197,201,0.029565,4
BEL,211,1835,115,1622,30,1920,4209,204,0.0298685,4
BEL,211,1836,135,1452,30,2348,4243,207,0.0307612,4
BEL,211,1837,150,1626,46,2439,4273,208,0.0330815,4
BEL,211,1838,132,1644,48,2559,4318,210,0.0314917,4
BEL,211,1839,100,1946,50,2782,4035,212,0.0297708,4
BEL,211,1840,95,1275,45,3151,4073,214,0.0268672,4
BEL,211,1841,90,1244,41,3013,4138,217,0.0253409,4
BEL,211,1842,96,1210,36,3120,4173,218,0.0258022,4
BEL,211,1843,98,1193,32,2945,4214,220,0.0242305,4
BEL,211,1844,107,1138,32,3168,4258,221,0.0239506,4
BEL,211,1845,135,1154,32,3366,4299,224,0.0240009,4
BEL,211,1846,189,1156,32,3655,4337,227,0.0248142,4
BEL,211,1847,248,1206,32,3883,4338,216,0.0270831,4
BEL,211,1848,162,1442,33,3449,4359,239,0.0235602,4
BEL,211,1849,149,1126,34,3646,4380,242,0.0227025,4
BEL,211,1850,145,1116,35,3822,4426,254,0.0224966,4
BEL,211,1851,168,1554,36,4153,4473,268,0.0245177,4
BEL,211,1852,179,1589,37,4704,4516,282,0.0247617,4
BEL,211,1853,230,1538,38,4881,4549,297,0.0251007,4
BEL,211,1854,285,1543,39,5327,4585,312,0.024502,4
BEL,211,1855,294,1546,40,5495,4607,329,0.0238922,4
BEL,211,1856,322,1587,40,5423,4529,346,0.0234168,4
BEL,211,1857,302,1431,40,5659,4577,365,0.0241141,4
BEL,211,1858,324,1443,40,5917,4623,367,0.0253723,4
BEL,211,1859,319,1755,40,6165,4671,369,0.0247203,4
BEL,211,1860,320,1457,40,6247,4732,372,0.0217083,4
BEL,211,1861,312,1501,40,6814,4782,374,0.0212093,4
BEL,211,1862,357,1533,40,6690,4837,377,0.0210331,4
BEL,211,1863,392,1606,40,7045,4893,379,0.0207585,4
BEL,211,1864,450,1606,40,7484,4940,382,0.0209714,4
BEL,211,1865,471,1516,40,7804,4984,384,0.0223169,4
BEL,211,1866,482,1665,40,8464,4828,387,0.0229002,4
BEL,211,1867,423,1596,40,9163,4898,390,0.0219076,4
BEL,211,1868,436,1579,40,8258,4962,401,0.0208277,4
BEL,211,1869,534,1588,40,8854,5021,413,0.0218476,4
BEL,211,1870,565,2469,40,10176,5088,425,0.0231389,4
BEL,211,1871,609,1885,40,9818,5114,437,0.0220114,4
BEL,211,1872,656,1697,40,10562,5175,450,0.0219739,4
BEL,211,1873,607,1664,40,11536,5254,464,0.0212788,4
BEL,211,1874,533,1860,40,10663,5337,477,0.0207989,4
BEL,211,1875,542,1958,43,11015,5403,491,0.0209683,4
BEL,211,1876,491,2018,46,10734,5336,506,0.0199371,4
BEL,211,1877,471,2059,46,10487,5413,521,0.0191124,4
BEL,211,1878,465,1993,46,11155,5477,536,0.0191407,4
BEL,211,1879,453,1977,46,11308,5537,552,0.0191818,4
BEL,211,1880,608,2037,46,12459,5520,568,0.0194068,4
BEL,211,1881,625,2037,46,12548,5586,585,0.0187218,4
BEL,211,1882,727,2064,46,13272,5655,595,0.0190727,4
BEL,211,1883,783,2078,45,14064,5721,605,0.0196502,4
BEL,211,1884,751,2096,47,13884,5785,616,0.019591,4
BEL,211,1885,713,2046,46,13473,5853,627,0.0191295,4
BEL,211,1886,702,1991,45,13144,5910,638,0.0184357,4
BEL,211,1887,756,1939,45,13918,5975,649,0.0181253,4
BEL,211,1888,827,1980,48,14735,6030,661,0.0180926,4
BEL,211,1889,832,1996,48,15108,6094,673,0.0177563,4
BEL,211,1890,788,2023,45,16273,6069,684,0.0169387,4
BEL,211,1891,684,2025,49,15423,6136,697,0.0161915,4
BEL,211,1892,753,2049,51,15402,6195,704,0.0165091,4
BEL,211,1893,745,2034,47,14702,6262,711,0.0163794,4
BEL,211,1894,819,2043,47,16215,6342,719,0.0169171,4
BEL,211,1895,829,2074,47,16404,6411,727,0.0159608,4
BEL,211,1896,959,2069,48,17282,6496,734,0.016507,4
BEL,211,1897,1035,2102,49,17815,6587,742,0.0161935,4
BEL,211,1898,980,2259,47,18362,6670,750,0.0151259,4
BEL,211,1899,1025,2272,49,19148,6745,758,0.0146821,4
BEL,211,1900,655,2387,51,20162,6694,766,0.0139175,4
BEL,211,1901,516,2471,48,18939,6800,775,0.0123719,4
BEL,211,1902,769,2523,49,19823,6896,784,0.0134561,4
BEL,211,1903,969,2521,46,21320,6985,1203,0.0149557,4
BEL,211,1904,1091,2540,44,21800,7075,1215,0.0152968,4
BEL,211,1905,1227,2487,44,21798,7161,1231,0.0140302,4
BEL,211,1906,1395,2717,44,24670,7239,1257,0.0146975,4
BEL,211,1907,1467,2849,44,25081,7318,1271,0.0145639,4
BEL,211,1908,1198,2581,46,22815,7386,1287,0.0144349,4
BEL,211,1909,1580,2636,46,24787,7452,1298,0.0144837,4
BEL,211,1910,1892,2606,48,26160,7424,1305,0.0148466,4
BEL,211,1911,2028,2704,47,26176,7490,1311,0.0149672,4
BEL,211,1912,2442,3058,47,27327,7571,1315,0.0150336,4
BEL,211,1913,2467,3410,48,27869,7639,902,0.0137711,4
BEL,211,1914,1396,9847,115,16700,7684,894,0.0117331,4
