AA AAPL ABT AEP ALL AMGN AMZN AVP AXP
0.035813 0.01239 -0.017696 -0.021808 -0.020124 -0.011381 0.301783 -0.005258 0.039813
-0.00266 -0.008159 0.013798 -0.012871 0.013902 -0.005058 -0.046365 0.00888 0.028717
-0.010133 -0.024679 -0.016446 0.001164 0.011218 -0.009116 -0.01105 0.006915 -0.036639
0.036907 0.054296 0.001922 -0.024186 0.001541 0.032378 0.026816 -0.001041 0.032297
-0.016888 -0.0235 0.015538 0.019542 0.004615 -0.007541 -0.0642 0.005 -0.016082
-0.001321 0.00768 0.0153 -0.015194 0.001225 0.070281 0.023256 -0.003317 -0.004458
0.026727 0.00813 0.003721 0.006171 0.011013 0.039368 0.031818 0.008111 0.02597
-0.013918 0.077117 0.001854 -0.004246 0.006959 0.046104 0.344714 0.005983 0.021821
0.000523 -0.017314 -0.004995 0.00616 0.01232 -0.022852 -0.059787 -0.019073 -0.015376
-0.009143 -0.022381 0.005764 -0.047799 -0.007124 -0.020197 0.009582 -0.000836 -0.026894
0.001845 -0.005358 0.008504 0.003462 0.025556 0.019684 -0.037964 0.004813 -0.009807
0.015789 0.043095 0.008249 0.016511 0.003811 0.009728 0.015247 -0.005831 -0.012305
-0.01943 -0.011737 0.008364 0.006061 -0.00847 -0.014301 -0.073322 0.004399 -0.023397
0.006605 0.064133 -0.006671 0.012289 -0.033873 0.018021 0.137274 -0.000209 0.037648
0.048556 0.060714 0.001271 0.009998 0.004878 0.016202 -0.01425 0.015853 0.037781
-0.010013 -0.041246 -0.004351 -0.019562 0.008192 0.011072 0.028912 0.002464 0.015891
-0.017699 -0.010536 0.004006 0.030289 -0.032501 -0.024675 -0.032231 -0.007989 -0.013083
-0.008752 0 0.006529 -0.016566 -0.000933 -0.028892 -0.005124 0.012802 -0.020173
0.000519 -0.033718 -0.024505 -0.010439 -0.019303 -0.008787 0.050644 -0.002854 0.007647
-0.018427 -0.013315 -0.020318 -0.003836 -0.006984 0.0014 -0.026961 0.00184 -0.024518
-0.040984 -0.022801 0.002828 0.00698 -0.008312 -0.065228 -0.085642 0.002857 -0.024536
0.020678 -0.029048 0.022749 -0.008126 0.01902 -0.069114 0.010101 -0.021571 -0.010429
-0.013776 0.01128 -0.007353 0.000964 0.031003 0.061753 -0.017273 0.009775 0.027588
0.031498 0.018914 -0.002778 0.014925 0.002148 -0.018491 0.004625 0.018538 0.006938
-0.060542 0.029034 0.018013 0.029886 -0.013778 -0.001028 -0.013812 -0.011122 0.036549
-0.013002 -0.043941 0.014228 -0.019346 0.003415 -0.009086 -0.052288 -0.018405 -0.030347
-0.020332 0.015965 0.017806 -0.00728 -0.009901 0.002941 -0.014778 -0.025208 0.007452
0.006723 0.017143 -0.002297 0.01727 0 -0.016388 -0.017 0.003633 0.013609
0.020616 0.006086 0.005491 0.002326 0.009375 0.022273 0.129196 0.000426 0.012843
0.008535 0.026989 -0.004756 0.002552 0.018885 0.001887 -0.045045 -0.002767 0.008646
0.019746 0.016312 -0.000354 0.00162 0.028867 0.011301 0.028302 -0.003629 0.03
-0.016598 -0.023629 -0.012925 0.005776 -0.004725 -0.044362 -0.007339 -0.003856 -0.009986
0.003657 0.063927 0.001614 0.009649 -0.015134 -0.000709 0.012939 -0.021075 0.007565
0.012892 0.012017 0.000895 -0.007054 -0.018379 -0.036525 0.085766 0.006151 0.015886
0.032097 0.004665 -0.001789 -0.008478 0.003376 0.023555 0.029412 -0.004148 0.034842
0.023056 -0.033347 -0.00699 0.015715 0.011013 0.001259 0.007347 -0.018198 -0.003181
-0.021488 -0.012664 -0.006498 -0.002275 -0.001513 0.015263 -0.039708 0.001563 -0.014628
-0.022496 -0.042459 -0.005451 0.000456 0.000303 -0.013619 -0.027004 0.005128 0.002699
-0.016438 -0.0194 0.009134 0.00889 -0.016056 0.01291 -0.042498 -0.008651 0.016689
-0.006964 -0.008479 0.015387 -0.008812 -0.007081 0.010798 -0.000906 -0.00537 -0.009267
