tstamp	tyear	pow
200201172150   16.90972  12390
200201172155   16.91319  12695
200201172200   16.91667  13625
200201172205   16.92014  13358
200201172210   16.92361  13030
200201172215   16.92708  12863
200201172220   16.93056  12725
200201172225   16.93403  12520
200201172230   16.93750  12306
200201172235   16.94097  12764
200201172240   16.94444  12764
200201172245   16.94792  12642
200201172250   16.95139  12748
200201172255   16.95486  12322
200201172300   16.95833  11963
200201172305   16.96181  11285
200201172310   16.96528  11407
200201172315   16.96875  11438
200201172320   16.97222  10904
200201172325   16.97569  12405
200201172330   16.97917  14653
200201172335   16.98264  15248
200201172340   16.98611  14897
200201172345   16.98958  14981
200201172350   16.99306  15133
200201172355   16.99653  15385
200201180000   17.00000  15712
200201180005   17.00347  15514
200201180010   17.00694  14364
200201180015   17.01042  13686
200201180020   17.01389  13228
200201180025   17.01736  12649
200201180030   17.02083  12649
200201180035   17.02431  12550
200201180040   17.02778  12466
200201180045   17.03125  12474
200201180050   17.03472  12443
200201180055   17.03819  12276
200201180100   17.04167  12428
200201180105   17.04514  11880
200201180110   17.04861  12398
200201180115   17.05208  11598
200201180120   17.05556  11384
200201180125   17.05903  11971
200201180130   17.06250  11750
200201180135   17.06597  11308
200201180140   17.06944  11194
200201180145   17.07292  11316
200201180150   17.07639  10805
200201180155   17.07986  10226
200201180200   17.08333   9807
200201180205   17.08681   8877
200201180210   17.09028   8550
200201180215   17.09375   7673
200201180220   17.09722   7460
200201180225   17.10069   7216
200201180230   17.10417   6370
200201180235   17.10764   5784
200201180240   17.11111   6126
200201180245   17.11458   7925
200201180250   17.11806   9441
200201180255   17.12153   9716
200201180300   17.12500  10043
200201180305   17.12847  10706
200201180310   17.13194  10074
200201180315   17.13542  10622
200201180320   17.13889  11095
200201180325   17.14236  11476
200201180330   17.14583  11140
200201180335   17.14931  11963
200201180340   17.15278  12169
200201180345   17.15625  11735
200201180350   17.15972  10950
200201180355   17.16319  10538
200201180400   17.16667   9723
200201180405   17.17014   8283
200201180410   17.17361   7521
200201180415   17.17708   6904
200201180420   17.18056   6043
200201180425   17.18403   5410
200201180430   17.18750   5204
200201180435   17.19097   5517
200201180440   17.19444   5662
200201180445   17.19792   5486
200201180450   17.20139   4793
200201180455   17.20486   4915
200201180500   17.20833   5243
200201180505   17.21181   4991
200201180510   17.21528   5486
200201180515   17.21875   6271
200201180520   17.22222   6317
200201180525   17.22569   5906
200201180530   17.22917   6187
200201180535   17.23264   5928
200201180540   17.23611   5144
200201180545   17.23958   5944
200201180550   17.24306   5159
200201180555   17.24653   5258
200201180600   17.25000   4580
200201180605   17.25347   4313
200201180610   17.25694   4984
200201180615   17.26042   5174
200201180620   17.26389   4831
200201180625   17.26736   4062
200201180630   17.27083   3818
200201180635   17.27431   5136
200201180640   17.27778   4519
200201180645   17.28125   4336
200201180650   17.28472   4648
200201180655   17.28819   4191
200201180700   17.29167   4671
200201180705   17.29514   4549
200201180710   17.29861   5296
200201180715   17.30208   5342
200201180720   17.30556   5464
200201180725   17.30903   5174
200201180730   17.31250   5326
200201180735   17.31597   6538
200201180740   17.31944   6149
200201180745   17.32292   6104
200201180750   17.32639   7513
200201180755   17.32986   7818
200201180800   17.33333   7422
200201180805   17.33681   4892
200201180810   17.34028   5616
200201180815   17.34375   7643
200201180820   17.34722  12261
200201180825   17.35069  11300
200201180830   17.35417  12093
200201180835   17.35764   8214
200201180840   17.36111   6477
200201180845   17.36458   7270
200201180850   17.36806   8367
200201180855   17.37153   8565
200201180900   17.37500   7841
200201180905   17.37847   4839
200201180910   17.38194   2027
200201180915   17.38542    914
200201180920   17.38889   2355
200201180925   17.39236   2012
200201180930   17.39583   1821
200201180935   17.39931    556
200201180940   17.40278    381
200201180945   17.40625    160
200201180950   17.40972    572
200201180955   17.41319   1044
200201181000   17.41667   1295
200201181005   17.42014   2126
200201181010   17.42361   2042
200201181015   17.42708   1996
200201181020   17.43056   2355
200201181025   17.43403   2903
200201181030   17.43750   2835
200201181035   17.44097   2576
200201181040   17.44444   2530
200201181045   17.44792   2858
200201181050   17.45139   3345
200201181055   17.45486   3673
200201181100   17.45833   4107
200201181105   17.46181   3901
200201181110   17.46528   4046
200201181115   17.46875   3932
200201181120   17.47222   3940
200201181125   17.47569   4023
200201181130   17.47917   2896
200201181135   17.48264   3223
200201181140   17.48611   2698
200201181145   17.48958   2789
200201181150   17.49306   2659
200201181155   17.49653   2263
200201181200   17.50000   2888
200201181205   17.50347   3277
200201181210   17.50694   3840
200201181215   17.51042   3353
200201181220   17.51389   3307
200201181225   17.51736   3368
200201181230   17.52083   3955
200201181235   17.52431   3551
200201181240   17.52778   3970
200201181245   17.53125   4237
200201181250   17.53472   4183
200201181255   17.53819   4503
200201181300   17.54167   5380
200201181305   17.54514   6073
200201181310   17.54861   6713
200201181315   17.55208   6248
200201181320   17.55556   6279
200201181325   17.55903   5662
200201181330   17.56250   5349
200201181335   17.56597   5616
200201181340   17.56944   5883
200201181345   17.57292   6614
200201181350   17.57639   7018
200201181355   17.57986   7742
200201181400   17.58333   7330
200201181405   17.58681   5304
200201181410   17.59028   4008
200201181415   17.59375   3955
200201181420   17.59722   3726
200201181425   17.60069   3200
200201181430   17.60417   3307
200201181435   17.60764   3566
200201181440   17.61111   3520
200201181445   17.61458   3437
200201181450   17.61806   3170
200201181455   17.62153   2499
200201181500   17.62500   1844
200201181505   17.62847   1768
200201181510   17.63194   1874
200201181515   17.63542    937
200201181520   17.63889    358
200201181525   17.64236    419
200201181530   17.64583    975
200201181535   17.64931   1631
200201181540   17.65278   1951
200201181545   17.65625   2698
200201181550   17.65972   3879
200201181555   17.66319   4740
200201181600   17.66667   4839
200201181605   17.67014   5136
200201181610   17.67361   5806
200201181615   17.67708   5509
200201181620   17.68056   4084
200201181625   17.68403   3033
200201181630   17.68750   2553
200201181635   17.69097   2217
200201181640   17.69444   2339
200201181645   17.69792   2781
200201181650   17.70139   4214
200201181655   17.70486   5715
200201181700   17.70833   4862
200201181705   17.71181   3254
200201181710   17.71528   3277
200201181715   17.71875   3238
200201181720   17.72222   2629
200201181725   17.72569   2195
200201181730   17.72917   1714
200201181735   17.73264   2111
200201181740   17.73611   2644
200201181745   17.73958   2248
200201181750   17.74306   2377
200201181755   17.74653   3033
200201181800   17.75000   4016
200201181805   17.75347   4496
200201181810   17.75694   4305
200201181815   17.76042   4915
200201181820   17.76389   3650
200201181825   17.76736   2896
200201181830   17.77083   3338
200201181835   17.77431   3246
200201181840   17.77778   4542
200201181845   17.78125   6104
200201181850   17.78472   5715
200201181855   17.78819   4854
200201181900   17.79167   2690
200201181905   17.79514   1326
200201181910   17.79861    785
200201181915   17.80208    831
200201181920   17.80556   1219
200201181925   17.80903   1394
200201181930   17.81250   1920
200201181935   17.81597   1966
200201181940   17.81944   2766
200201181945   17.82292   3894
200201181950   17.82639   4542
200201181955   17.82986   4724
200201182000   17.83333   4816
200201182005   17.83681   5334
200201182010   17.84028   5082
200201182015   17.84375   6104
200201182020   17.84722   5098
200201182025   17.85069   4138
200201182030   17.85417   2880
200201182035   17.85764   1905
200201182040   17.86111   2004
200201182045   17.86458   2225
200201182050   17.86806   2644
200201182055   17.87153   2675
200201182100   17.87500   2454
200201182105   17.87847   2301
200201182110   17.88194   1516
200201182115   17.88542    815
200201182120   17.88889    808
200201182125   17.89236    892
200201182130   17.89583   1135
200201182135   17.89931   1570
200201182140   17.90278   2621
200201182145   17.90625   4084
200201182150   17.90972   5029
200201182155   17.91319   5090
200201182200   17.91667   4907
200201182205   17.92014   4816
200201182210   17.92361   4877
200201182215   17.92708   4153
200201182220   17.93056   3414
200201182225   17.93403   2423
200201182230   17.93750   2126
200201182235   17.94097   3117
200201182240   17.94444   3444
200201182245   17.94792   4092
200201182250   17.95139   3924
200201182255   17.95486   3505
200201182300   17.95833   3703
200201182305   17.96181   3909
200201182310   17.96528   3818
200201182315   17.96875   4465
200201182320   17.97222   4732
200201182325   17.97569   4519
200201182330   17.97917   4107
200201182335   17.98264   4473
200201182340   17.98611   6401
200201182345   17.98958   7818
200201182350   17.99306   8969
200201182355   17.99653   7986
200201190000   18.00000   8146
200201190005   18.00347   6690
200201190010   18.00694   5403
200201190015   18.01042   4922
200201190020   18.01389   4305
200201190025   18.01736   4732
200201190030   18.02083   4534
200201190035   18.02431   4930
200201190040   18.02778   5410
200201190045   18.03125   5471
200201190050   18.03472   5677
200201190055   18.03819   5852
