unsteady_bouss_testproblem

Specification of unsteady Boussinesq problem.

choose specific example
     1  Bottom heated cavity
     2  Laterally heated cavity
     3  Bottom heated forward step : 1

-----------------------------------------------------------
Boussinesq flow in a rectangular cavity [0,L]x[0,H]
-----------------------------------------------------------

Grid generation for Boussinesq box domain 
Input the domain height H (default 8) : 1
Input the domain width  L (default 1) : 8
Grid type: uniform/stretched 1/2 (default stretched) : 1
Input the number of elements in y direction : 20
Number of elements in x-direction. 
Input the multiplication factor in x-direction (default L/H) : 
Choose node enumeration direction x/y : 1/2 (default is x) : 2
Type of BC for the temperature on vertical walls:
   1   Adiabatic (Neumann, default)
   2   Perfectly conducting (Dirichlet) : 

Grid statistics (level  1):
   Number of elements:  3200 (160 x  20)
   hxmin=0.0500    hxmax=0.0500
   hymin=0.0500    hymax=0.0500
Grid partitioning done in    0.228 seconds
Grid data saved in box_grid1h.mat.

SPACE DISCRETISATION OF THE BOUSSINESQ PROBLEM (u,p,T): 
Setting up Q2-Q1-Q2 matrices:  
   Number of elements:              3200
   Number of velocity dofs (x+y):  26322
   Number of pressure dofs:         3381
   Number of temperature dofs:     13161
   Total number of dofs:           42864
   System setup in    1.404 seconds
Grid data saved in rect_grid1h.mat.
System matrices saved in rect_bouss_nobc.mat.


Unsteady Boussinesq flow in a cavity domain ...
To restart integration from Checkpoint datafile run restart_bouss
Rayleigh number (default 3.4e5) : 15000
Prandtl number (default 0.71) : 7.1
target time? (default 100) : 300
number of timesteps (x200)? (default 5) : 2
accuracy tolerance? (default 3e-5) : 1e-6
number of nonlinear Picard correction steps? (default is none) : 0
averaging frequency? (default 10) : 
plot solution evolution? 1/0 : 
generate solution history data points? 1/0 (default is no) : 
      fluid viscosity parameter is 2.18e-02 
temperature viscosity parameter is 3.06e-03 
Integrating using stabilized TR ...
intermediate (CheckPoint) datafile: stabtrBouss_restart
[Warning: Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =
1.799118e-23.] 
[> In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/stabtrBouss.m',108,1)">stabtrBouss at 108</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/unsteady_bouss.m',48,1)">unsteady_bouss at 48</a>
  In <a href="matlab: opentoline('/Users/davidsilvester/Desktop/ifiss3.3/boussinesq_flow/test_problems/unsteady_bouss_testproblem.m',16,1)">unsteady_bouss_testproblem at 16</a>] 

lastmsg =

Matrix is close to singular or badly scaled. Results may be inaccurate. RCOND =  1.799118e-23.

This should not cause difficulty for enclosed flow problems.

 StabTR with no nonlinear corrections

   step  timestep    time    meanKE   vorticity
   173   9.64e-02     3.34   0.0000   0.0000   
   174   9.91e-02     3.44   0.0000   0.0000   
   175   1.02e-01     3.54   0.0000   0.0000   
   176   1.05e-01     3.65   0.0000   0.0000   
   177   1.08e-01     3.75   0.0000   0.0000   
   178   1.11e-01     3.86   0.0000   0.0000   
   179   1.14e-01     3.98   0.0000   0.0000   
   180   1.17e-01     4.09   0.0000   0.0000   --- Averaging
   181   1.20e-01     4.16   0.0000   0.0000   
   182   1.22e-01     4.28   0.0000   0.0000   
   183   1.25e-01     4.40   0.0000   0.0000   
   184   1.28e-01     4.53   0.0000   0.0000   
   185   1.32e-01     4.66   0.0000   0.0000   
   186   1.35e-01     4.80   0.0000   0.0000   
   187   1.39e-01     4.94   0.0000   0.0000   
   188   1.43e-01     5.08   0.0000   0.0000   
   189   1.47e-01     5.23   0.0000   0.0000   
   190   1.50e-01     5.38   0.0000   0.0000   --- Averaging
   191   1.54e-01     5.46   0.0000   0.0000   
   192   1.57e-01     5.61   0.0000   0.0000   
   193   1.61e-01     5.77   0.0000   0.0000   
   194   1.65e-01     5.94   0.0000   0.0000   
   195   1.70e-01     6.11   0.0000   0.0000   
   196   1.74e-01     6.28   0.0000   0.0000   
   197   1.79e-01     6.46   0.0000   0.0000   
   198   1.84e-01     6.65   0.0000   0.0000   
   199   1.89e-01     6.84   0.0000   0.0000   
   200   1.95e-01     7.03   0.0000   0.0000   --- Averaging --- CheckPoint
   201   2.01e-01     7.13   0.0000   0.0000   
   202   2.04e-01     7.34   0.0000   0.0000   
   203   2.10e-01     7.55   0.0000   0.0000   
   204   2.16e-01     7.76   0.0000   0.0000   
   205   2.22e-01     7.99   0.0000   0.0000   
   206   2.29e-01     8.22   0.0000   0.0000   
   207   2.36e-01     8.45   0.0000   0.0000   
   208   2.44e-01     8.70   0.0000   0.0000   
   209   2.51e-01     8.95   0.0000   0.0000   
   210   2.59e-01     9.21   0.0000   0.0000   --- Averaging
   211   2.67e-01     9.34   0.0000   0.0000   
   212   2.71e-01     9.61   0.0000   0.0000   
   213   2.79e-01     9.89   0.0000   0.0000   
   214   2.87e-01    10.18   0.0000   0.0000   
   215   2.95e-01    10.47   0.0000   0.0000   
   216   3.03e-01    10.78   0.0000   0.0000   
   217   3.10e-01    11.09   0.0000   0.0000   
   218   3.18e-01    11.40   0.0000   0.0000   
   219   3.26e-01    11.73   0.0000   0.0000   
   220   3.33e-01    12.06   0.0000   0.0000   --- Averaging
   221   3.40e-01    12.24   0.0000   0.0000   
   222   3.44e-01    12.58   0.0000   0.0000   
   223   3.50e-01    12.93   0.0000   0.0000   
   224   3.57e-01    13.29   0.0000   0.0000   
   225   3.64e-01    13.65   0.0000   0.0000   
   226   3.70e-01    14.02   0.0000   0.0000   
   227   3.76e-01    14.40   0.0000   0.0000   
   228   3.83e-01    14.78   0.0000   0.0000   
   229   3.89e-01    15.17   0.0000   0.0000   
   230   3.96e-01    15.57   0.0000   0.0000   --- Averaging
   231   4.03e-01    15.77   0.0000   0.0000   
   232   4.07e-01    16.18   0.0000   0.0000   
   233   4.13e-01    16.59   0.0000   0.0000   
   234   4.20e-01    17.01   0.0000   0.0000   
   235   4.27e-01    17.44   0.0000   0.0000   
   236   4.35e-01    17.87   0.0000   0.0000   
   237   4.42e-01    18.31   0.0000   0.0000   
   238   4.50e-01    18.77   0.0000   0.0000   
   239   4.58e-01    19.22   0.0000   0.0000   
   240   4.67e-01    19.69   0.0000   0.0000   --- Averaging
   241   4.75e-01    19.93   0.0000   0.0000   
   242   4.81e-01    20.41   0.0000   0.0000   
   243   4.89e-01    20.90   0.0000   0.0000   
   244   4.99e-01    21.40   0.0000   0.0000   
   245   5.09e-01    21.91   0.0000   0.0000   
   246   5.19e-01    22.43   0.0000   0.0000   
   247   5.30e-01    22.96   0.0000   0.0000   
   248   5.41e-01    23.50   0.0000   0.0000   
   249   5.53e-01    24.05   0.0000   0.0000   
   250   5.65e-01    24.62   0.0000   0.0000   --- Averaging
   251   5.78e-01    24.91   0.0000   0.0000   
   252   5.85e-01    25.50   0.0000   0.0000   
   253   5.98e-01    26.10   0.0000   0.0000   
   254   6.12e-01    26.71   0.0000   0.0000   
   255   6.27e-01    27.34   0.0000   0.0000   
   256   6.43e-01    27.98   0.0000   0.0000   
   257   6.59e-01    28.64   0.0000   0.0000   
   258   6.77e-01    29.31   0.0000   0.0000   
   259   6.95e-01    30.01   0.0000   0.0000   
   260   7.14e-01    30.72   0.0000   0.0000   --- Averaging
   261   7.34e-01    31.10   0.0000   0.0000   
   262   7.47e-01    31.85   0.0000   0.0000   
   263   7.67e-01    32.61   0.0000   0.0000   
   264   7.91e-01    33.41   0.0000   0.0000   
   265   8.16e-01    34.22   0.0000   0.0000   
   266   8.42e-01    35.06   0.0000   0.0000   
   267   8.70e-01    35.93   0.0000   0.0000   
   268   9.00e-01    36.83   0.0000   0.0000   
   269   9.32e-01    37.77   0.0000   0.0000   
   270   9.67e-01    38.73   0.0000   0.0000   --- Averaging
   271   1.00e+00    39.25   0.0000   0.0000   
   272   1.03e+00    40.28   0.0000   0.0000   
   273   1.06e+00    41.34   0.0000   0.0000   
   274   1.11e+00    42.45   0.0000   0.0000   
   275   1.16e+00    43.61   0.0000   0.0000   
   276   1.21e+00    44.83   0.0000   0.0000   
   277   1.27e+00    46.10   0.0000   0.0000   
   278   1.33e+00    47.43   0.0000   0.0000   
   279   1.40e+00    48.83   0.0000   0.0000   
   280   1.48e+00    50.32   0.0000   0.0000   --- Averaging
   281   1.57e+00    51.14   0.0000   0.0000   
   282   1.62e+00    52.77   0.0000   0.0000   
   283   1.72e+00    54.48   0.0000   0.0000   oops .. near singularity
   284   1.83e+00    56.32   0.0000   0.0000   
   285   1.97e+00    58.29   0.0000   0.0000   
   286   2.12e+00    60.40   0.0000   0.0000   
   287   2.29e+00    62.70   0.0000   0.0000   
   288   2.50e+00    65.20   0.0000   0.0000   
   289   2.74e+00    67.94   0.0000   0.0000   
   290   3.03e+00    70.97   0.0000   0.0000   --- Averaging
   291   3.39e+00    72.84   0.0000   0.0000   
   292   3.63e+00    76.47   0.0000   0.0000   
   293   4.09e+00    80.56   0.0000   0.0000   
   294   4.75e+00    85.31   0.0000   0.0000   
   295   5.52e+00    90.83   0.0000   0.0000   
   296   5.63e+00    96.46   0.0000   0.0001   
   297   4.04e+00   100.50   0.0000   0.0001    oops .. step was rejected
   297   2.37e+00    98.83   0.0000   0.0001   
   298   1.92e+00   100.74   0.0000   0.0002   
   299   1.61e+00   102.35   0.0000   0.0003   
   300   1.18e+00   103.53   0.0001   0.0004   --- Averaging
   301   9.14e-01   103.86   0.0001   0.0005   
