## CMB data from WMAP probe
## first column is wavenumber (x variable)
## second column is the estimated specturm
## third column is estimated standard deviation
   ell    Cl             se           measerr    cosmic
  580    1917.5160    1048.2998     937.6204     110.6793
  581    2497.9409    1055.3118     945.1271     110.1847
  582    4248.4258    1062.3756     952.6892     109.6863
  583    4010.4209    1069.4878     960.3033     109.1846
  584    3581.6841    1076.6552     967.9755     108.6796
  585    1036.6460    1083.8700     975.6985     108.1716
  586    1189.0200    1091.1438     983.4830     107.6608
  587    3510.4089    1098.4681     991.3206     107.1475
  588    1949.7510    1105.8492     999.2176     106.6317
  589    1927.9220    1113.2844    1007.1705     106.1139
  590    3757.5000    1120.7773    1015.1832     105.5940
  591    1239.8030    1128.3228    1023.2502     105.0725
  592    1609.0450    1135.9246    1031.3751     104.5494
  593    1041.8870    1143.5886    1039.5637     104.0250
  594    1562.4330    1151.3029    1047.8033     103.4994
  595    2101.1289    1159.0806    1056.1077     102.9730
  596     446.9620    1166.9148    1064.4690     102.4459
  597    3140.7219    1174.8125    1072.8943     101.9182
  598    1866.0940    1182.7653    1081.3749     101.3903
  599    2580.7229    1190.7838    1089.9215     100.8623
  600    1872.8070    1198.8591    1098.5247     100.3344
  601       7.8509    1206.9990    1107.1921      99.8068
  602    2493.1150    1215.2028    1115.9230      99.2798
  603    -905.1535    1223.4659    1124.7124      98.7535
  604    3514.7781    1231.7975    1133.5695      98.2280
  605    2266.7981    1240.1942    1142.4905      97.7037
  606    1642.6110    1248.6462    1151.4655      97.1808
  607    3389.5310    1257.1735    1160.5142      96.6593
  608    3135.9780    1265.7621    1169.6226      96.1395
  609    2359.5310    1274.4182    1178.7966      95.6217
  610    2517.1121    1283.1423    1188.0364      95.1059
  611    1511.4390    1291.9387    1197.3463      94.5925
  612    2173.7900    1300.7996    1206.7180      94.0815
  613      77.6369    1309.7294    1216.1561      93.5733
  614    3061.2090    1318.7302    1225.6622      93.0679
  615    2882.3650    1327.8044    1235.2389      92.5655
  616    1378.3080    1336.9469    1244.8804      92.0665
  617    4002.8479    1346.1610    1254.5901      91.5709
  618    2059.5659    1355.4463    1264.3674      91.0789
  619    1805.6810    1364.8070    1274.2162      90.5908
  620    -183.5365    1374.2468    1284.1401      90.1067
  621    -644.3215    1383.7506    1294.1238      89.6268
  622    3624.0859    1393.3405    1304.1892      89.1514
  623     176.8948    1402.9966    1314.3162      88.6805
  624      23.6813    1412.7386    1324.5243      88.2144
  625    2287.3879    1422.5548    1334.8016      87.7532
  626    1413.8270    1432.4481    1345.1509      87.2972
  627    6002.9219    1442.4183    1355.5718      86.8466
  628    1555.9630    1452.4650    1366.0634      86.4015
  629     416.8448    1462.5986    1376.6365      85.9620
  630     963.5390    1472.8058    1387.2772      85.5285
  631    2093.1060    1483.0985    1397.9974      85.1010
  632    2419.4861    1493.4772    1408.7974      84.6798
  633    4012.3931    1503.9303    1419.6653      84.2651
  634    3963.0920    1514.4724    1430.6156      83.8569
  635    2684.7090    1525.0953    1441.6398      83.4556
  636    2126.1750    1535.8073    1452.7461      83.0612
  637     406.4875    1546.6058    1463.9320      82.6740
  638    2030.6440    1557.4872    1475.1931      82.2941
  639      55.6879    1568.4531    1486.5315      81.9218
  640    1396.4670    1579.5084    1497.9513      81.5571
  641    2361.6980    1590.6530    1509.4528      81.2003
  642    1164.3490    1601.8818    1521.0302      80.8516
  643     327.1929    1613.2128    1532.7017      80.5111
  644     640.1141    1624.6271    1544.4480      80.1790
  645   -1416.4240    1636.1283    1556.2727      79.8555
  646    5969.7930    1647.7284    1568.1876      79.5408
  647     701.9258    1659.4185    1580.1836      79.2349
  648    4361.0298    1671.1985    1592.2604      78.9382
  649    -849.1665    1683.0781    1604.4272      78.6508
  650     882.0359    1695.0472    1616.6746      78.3728
  651    4734.0630    1707.1216    1629.0172      78.1044
  652    3293.3269    1719.2852    1641.4396      77.8456
  653    3575.1321    1731.5474    1653.9510      77.5963
  654     848.2543    1743.9133    1666.5568      77.3565
  655    1377.0100    1756.3710    1679.2450      77.1261
  656    1957.2889    1768.9252    1692.0201      76.9050
  657    3733.2339    1781.5787    1704.8854      76.6933
  658    3130.6230    1794.3352    1717.8444      76.4909
  659   -2799.1670    1807.1924    1730.8948      76.2976
  660    2147.5291    1820.1465    1744.0331      76.1135
  661    5583.2808    1833.2073    1757.2687      75.9385
  662    1925.8260    1846.3665    1770.5939      75.7726
  663   -2415.5681    1859.6302    1784.0145      75.6157
  664    1137.2230    1872.9933    1797.5255      75.4678
  665    1572.3220    1886.4678    1811.1389      75.3288
  666   -1045.0439    1900.0469    1824.8483      75.1986
  667    7765.1519    1913.7266    1838.6493      75.0773
  668    7214.0889    1927.5170    1852.5522      74.9647
  669     596.4047    1941.4053    1866.5444      74.8608
  670    -581.3713    1955.4039    1880.6384      74.7656
  671    3955.2739    1969.5103    1894.8313      74.6791
  672    2640.3960    1983.7272    1909.1261      74.6011
  673    3951.0911    1998.0526    1923.5210      74.5316
  674    -926.4888    2012.4813    1938.0107      74.4706
  675    4009.6919    2027.0319    1952.6138      74.4180
  676    6149.2319    2041.6825    1967.3086      74.3738
  677     966.2288    2056.4504    1982.1125      74.3379
  678    4203.1621    2071.3364    1997.0261      74.3103
  679    3701.3931    2086.3240    2012.0333      74.2909
  680   -1315.1121    2101.4326    2027.1528      74.2797
  681    5307.6851    2116.6538    2042.3772      74.2767
  682   -4338.0859    2131.9902    2057.7085      74.2818
  683    3123.8350    2147.4341    2073.1394      74.2949
  684    4638.0229    2163.0076    2088.6917      74.3160
  685    1455.0880    2178.6917    2104.3467      74.3450
  686    1813.9270    2194.5002    2120.1182      74.3820
  687    1817.8020    2210.4233    2135.9963      74.4268
  688   -4805.8330    2226.4568    2151.9773      74.4795
  689   -2097.1321    2242.6250    2168.0852      74.5399
  690    5239.7539    2258.8994    2184.2913      74.6081
  691   -1643.4670    2275.3049    2200.6211      74.6839
  692    -905.7075    2291.8323    2217.0649      74.7673
  693     348.3626    2308.4731    2233.6147      74.8584
  694    2570.3660    2325.2405    2250.2832      74.9570
  695    -223.6349    2342.1411    2267.0779      75.0631
  696    5039.5508    2359.1650    2283.9883      75.1767
  697    2213.0081    2376.2993    2301.0020      75.2976
  698   -3934.6909    2393.5776    2318.1519      75.4260
  699    2561.9360    2410.9814    2335.4194      75.5616
  700    6024.8579    2428.5083    2352.8035      75.7046
  701    4917.7881    2446.1597    2370.3049      75.8547
  702    1626.1160    2463.9502    2387.9382      76.0119
  703    2613.0020    2481.8638    2405.6877      76.1759
  704   -1597.4060    2499.9204    2423.5735      76.3467
  705    3057.1140    2518.0864    2441.5627      76.5239
  706     142.7675    2536.4004    2459.6929      76.7075
  707     -75.1234    2554.8481    2477.9512      76.8971
  708    4884.0288    2573.4238    2496.3311      77.0928
  709     974.4821    2592.1306    2514.8364      77.2941
  710   -3186.9199    2610.9829    2533.4819      77.5011
  711    -373.4638    2629.9529    2552.2393      77.7135
  712    1692.2360    2649.0740    2571.1428      77.9310
  713    5332.4790    2668.3337    2590.1802      78.1537
  714   -2329.1970    2687.7244    2609.3430      78.3811
  715   -1644.3650    2707.2522    2628.6389      78.6133
  716   -1228.3571    2726.9180    2648.0679      78.8500
  717      44.5899    2746.7314    2667.6404      79.0910
  718    -462.8018    2766.6826    2687.3464      79.3361
  719     512.6001    2786.7632    2707.1780      79.5852
  720    -280.7488    2807.0000    2727.1619      79.8381
  721   -2736.0730    2827.3608    2747.2664      80.0946
  722    4739.5649    2847.8804    2767.5259      80.3545
  723     983.9019    2868.5459    2787.9280      80.6178
  724    4174.4702    2889.3523    2808.4685      80.8841
  725     293.5886    2910.2981    2829.1448      81.1533
  726    5240.9551    2931.3994    2849.9741      81.4253
  727     298.7967    2952.6475    2870.9478      81.6998
  728    1637.7750    2974.0386    2892.0620      81.9768
  729     910.9006    2995.5757    2913.3196      82.2559
  730    1319.6331    3017.2634    2934.7263      82.5372
  731    2305.6721    3039.1001    2956.2800      82.8203
  732   -3872.8379    3061.0935    2977.9883      83.1051
  733    1380.5590    3083.2341    2999.8425      83.3915
  734   -2433.4331    3105.5381    3021.8589      83.6792
  735    3573.4919    3127.9714    3044.0032      83.9681
  736    4942.1089    3150.5903    3066.3323      84.2581
  737     192.6706    3173.3425    3088.7935      84.5490
  738    3114.1460    3196.2563    3111.4158      84.8405
  739    5029.1538    3219.3333    3134.2009      85.1326
  740    8531.1748    3242.5486    3157.1238      85.4250
  741   -1595.3790    3265.9365    3180.2185      85.7177
  742    6205.6729    3289.4648    3203.4543      86.0103
  743    6274.0889    3313.1721    3226.8691      86.3029
  744    3988.8049    3337.0398    3250.4448      86.5951
  745     465.6910    3361.0549    3274.1682      86.8869
  746   -4441.9028    3385.2556    3298.0774      87.1780
  747    7197.3110    3409.6040    3322.1355      87.4684
  748    3141.7939    3434.1052    3346.3477      87.7578
  749    8172.9990    3458.7856    3370.7395      88.0460
  750   -3078.6221    3483.6477    3395.3145      88.3330
  751    3639.1660    3508.6335    3420.0151      88.6186
  752    3120.8479    3533.8098    3444.9072      88.9026
  753    2679.3159    3559.1616    3469.9768      89.1848
  754    8197.2344    3584.6772    3495.2119      89.4652
  755    -377.3017    3610.3667    3520.6233      89.7436
  756   -1600.1639    3636.2227    3546.2031      90.0198
  757    2628.5730    3662.2502    3571.9568      90.2937
  758    2338.4109    3688.4443    3597.8792      90.5652
  759    1535.1420    3714.8123    3623.9783      90.8342
  760    4072.4480    3741.3782    3650.2778      91.1004
  761     174.2986    3768.0955    3676.7317      91.3638
  762    2917.9890    3795.0007    3703.3765      91.6242
  763    3183.3960    3822.0842    3730.2026      91.8814
  764   -1957.9550    3849.3354    3757.2000      92.1354
  765     223.2232    3876.7625    3784.3767      92.3860
  766     272.7387    3904.3774    3811.7441      92.6331
  767   -4436.5581    3932.1689    3839.2925      92.8765
  768   10138.0801    3960.1567    3867.0408      93.1161
  769    4448.0640    3988.3198    3894.9683      93.3518
  770    7119.9570    4016.6743    3923.0908      93.5833
  771   -1237.9180    4045.1975    3951.3867      93.8107
  772    6826.1841    4073.9067    3979.8730      94.0337
  773    2426.8301    4102.8159    4008.5635      94.2523
  774   -1139.8650    4131.9165    4037.4500      94.4662
  775   -4528.1030    4161.1919    4066.5161      94.6753
  776    -526.6643    4190.6694    4095.7896      94.8796
  777    3973.1860    4220.3306    4125.2520      95.0788
  778   -1764.6689    4250.1846    4154.9116      95.2729
  779    2305.2771    4280.2236    4184.7617      95.4618
  780   -4457.8301    4310.4775    4214.8325      95.6452
  781    3275.2429    4340.9131    4245.0903      95.8230
  782    2772.2090    4371.5586    4275.5635      95.9952
  783    2779.9939    4402.3765    4306.2148      96.1615
  784    1142.1100    4433.4189    4337.0972      96.3220
  785   -4118.4028    4464.6128    4368.1362      96.4763
  786    2469.2581    4496.0518    4399.4272      96.6245
  787   -1284.5610    4527.6895    4430.9229      96.7663
  788     180.9269    4559.5137    4462.6118      96.9016
  789   -2440.8569    4591.5649    4494.5347      97.0304
  790    5660.4448    4623.8013    4526.6489      97.1524
  791    2758.9409    4656.2642    4558.9966      97.2676
  792   10427.3203    4688.8989    4591.5229      97.3758
  793   -6023.4082    4721.7749    4624.2979      97.4769
  794   -3817.8020    4754.8340    4657.2632      97.5708
  795   11140.8398    4788.1011    4690.4443      97.6573
  796    2108.4771    4821.6089    4723.8726      97.7363
  797    2942.2129    4855.3101    4757.5024      97.8077
  798    8342.8037    4889.2173    4791.3462      97.8714
  799   -5842.7168    4923.3345    4825.4072      97.9271
  800    8416.0645    4957.7061    4859.7310      97.9749
  801    7627.3940    4992.2612    4894.2466      98.0146
  802    -559.8192    5027.0532    4929.0073      98.0462
  803   12719.2305    5062.0537    4963.9844      98.0698
  804     336.0424    5097.2700    4999.1851      98.0853
  805    1415.5850    5132.7100    5034.6172      98.0928
  806   -3900.2529    5168.3765    5070.2842      98.0923
  807   -8128.9609    5204.2793    5106.1948      98.0839
  808    6833.6162    5240.4038    5142.3359      98.0676
  809   -8199.5098    5276.7300    5178.6865      98.0433
  810    4956.4482    5313.3184    5215.3071      98.0112
  811   -3875.1140    5350.1284    5252.1572      97.9712
  812    -994.2132    5387.1680    5289.2446      97.9235
  813    2023.4150    5424.4082    5326.5396      97.8679
  814   -9174.2021    5461.9326    5364.1279      97.8046
  815    4792.6860    5499.6489    5401.9150      97.7336
  816    6656.9380    5537.6455    5439.9907      97.6549
  817    -156.3022    5575.8447    5478.2764      97.5685
  818   11426.6797    5614.3086    5516.8340      97.4744
  819   -1110.5389    5652.9819    5555.6089      97.3728
  820    -498.7589    5691.9258    5594.6621      97.2635
  821    5784.6421    5731.0918    5633.9448      97.1467
  822   -2338.5439    5770.5308    5673.5083      97.0223
  823   -4762.3799    5810.1919    5713.3013      96.8905
  824   10288.1699    5850.1167    5753.3652      96.7511
  825     -85.8420    5890.2788    5793.6743      96.6043
  826   -5792.6299    5930.6919    5834.2417      96.4501
  827    9432.3066    5971.3535    5875.0654      96.2884
  828   -1237.6071    6012.2500    5916.1304      96.1194
  829   11577.6504    6053.4253    5957.4829      95.9430
  830   -5906.0708    6094.8521    5999.0923      95.7593
  831   -1436.6479    6136.5435    6040.9756      95.5683
  832    -747.6784    6178.5137    6083.1436      95.3700
  833    3779.9199    6220.7168    6125.5522      95.1645
  834    6686.0791    6263.1763    6168.2246      94.9517
  835  -10580.1699    6305.9209    6211.1890      94.7318
  836   10068.4297    6348.9004    6254.3960      94.5046
  837     284.3946    6392.1841    6297.9141      94.2704
  838    4784.3169    6435.7158    6341.6865      94.0290
  839   -2786.4980    6479.5171    6385.7363      93.7805
  840   10887.6396    6523.5620    6430.0366      93.5250
  841    4101.7319    6567.9038    6474.6411      93.2624
  842   -3374.4199    6612.5425    6519.5498      92.9928
  843    7427.2959    6657.4517    6564.7354      92.7162
  844   11351.7500    6702.5835    6610.1509      92.4326
  845   11252.5303    6748.0410    6655.8989      92.1421
  846   10319.7402    6793.7739    6701.9292      91.8447
  847    2104.9719    6839.7974    6748.2568      91.5404
  848    2987.6140    6886.0845    6794.8555      91.2292
  849   12221.2305    6932.6582    6841.7466      90.9112
  850    7164.0972    6979.5200    6888.9341      90.5864
  851   12210.5498    7026.6611    6936.4067      90.2547
  852   -6624.4468    7074.1104    6984.1938      89.9165
  853    5208.7090    7121.8530    7032.2817      89.5717
  854   18855.6504    7169.8755    7080.6543      89.2206
  855    -685.2932    7218.1978    7129.3345      88.8632
  856    6274.0898    7266.8042    7178.3042      88.4998
  857   10564.0801    7315.7168    7227.5869      88.1304
  858   -1976.4420    7364.9336    7277.1782      87.7552
  859    3578.9741    7414.4399    7327.0654      87.3744
  860    1354.5820    7464.2417    7377.2534      86.9880
  861    8314.6592    7514.3677    7427.7715      86.5963
  862     615.0848    7564.8110    7478.6123      86.1993
  863   -3321.0481    7615.5293    7529.7324      85.7972
  864   -2859.4780    7666.5757    7581.1851      85.3901
  865   -3234.6541    7717.9399    7632.9624      84.9782
  866   22348.9004    7769.6221    7685.0605      84.5617
  867   -1656.9370    7821.5952    7737.4551      84.1405
  868    6698.1982    7873.8672    7790.1528      83.7150
  869   -2467.7151    7926.5063    7843.2212      83.2852
  870    7539.5239    7979.4507    7896.5996      82.8512
  871  -12382.8203    8032.7334    7950.3198      82.4133
  872  -10100.3799    8086.3257    8004.3540      81.9715
  873    4637.5518    8140.2339    8058.7080      81.5259
  874   10933.2803    8194.4678    8113.3911      81.0768
  875   11104.5996    8249.0771    8168.4521      80.6241
  876    3406.8711    8303.9736    8223.8057      80.1682
  877   -3593.0330    8359.1904    8279.4814      79.7091
  878  -13859.4697    8414.8115    8335.5654      79.2469
  879  -11088.7197    8470.6895    8391.9072      78.7818
  880   26480.8809    8526.9521    8448.6387      78.3139
  881   -5331.9448    8583.5176    8505.6738      77.8433
  882   -3330.6521    8640.4697    8563.0986      77.3702
  883      62.2097    8697.7588    8620.8643      76.8947
  884    1993.1370    8755.3770    8678.9600      76.4170
  885   -5423.5371    8813.3584    8737.4199      75.9371
  886    3930.3301    8871.7051    8796.2500      75.4553
  887    6920.0278    8930.3604    8855.3887      74.9715
  888   -2487.7971    8989.4014    8914.9150      74.4861
  889   -5045.4678    9048.8027    8974.8037      73.9990
  890   18028.8809    9108.5889    9035.0781      73.5105
  891    2816.0530    9168.6846    9095.6641      73.0206
  892   10693.7100    9229.1367    9156.6074      72.5295
  893    4222.8682    9289.9873    9217.9512      72.0373
  894   11420.1201    9351.2021    9279.6582      71.5442
  895   13036.3496    9412.7939    9341.7441      71.0502
  896   16760.5996    9474.7412    9404.1855      70.5556
  897    9046.5000    9537.0732    9467.0117      70.0603
  898   12001.8301    9599.7354    9530.1709      69.5647
  899   15065.5898    9662.8350    9593.7666      69.0687
  900  -17046.0801    9726.3271    9657.7549      68.5726
