"EXPONSAL"	"HIGHTECH"	"LOWTECH"	"MEDTECH"	"RD"	"RDINTENS"	"SALES"	"WORKERS"
0	0	1	0	0	0	1230000	27
20.4962	0	1	0	0	0	4940000	34
40.057	0	0	1	0	0	91500000	254
61.0696	1	0	0	0	0	4470000	39
98.444	0	0	1	61544000	0.392	157000000	860
52.64720000000001	1	0	0	0	0	362000000	1566
0	0	0	1	0	0	4490000	25
0.2766	0	1	0	0	0	903999.9999999999	9
65.3697	0	0	1	16604640	0.1774	93600000	856
24.0633	0	0	1	10001334	1.2533	7980000	43
0	0	1	0	0	0	93200	9
6.1736	0	1	0	0	0	39000000	182
76.73830000000001	1	0	0	178909710	6.1481	29100000	461
0	0	0	1	0	0	459999.9999999999	6
0.2362	0	0	1	144478380	4.325699999999999	33400000	207
0	0	1	0	0	0	310000000	514
38.5826	0	1	0	132933000	3.035	43800000	236
44.8179	0	0	1	16594227	2.2763	7290000	131
2.8173	0	1	0	0	0	1440000	33
0	0	1	0	0	0	94400000	305
16.2712	0	1	0	0	0	20300000	57
47.2237	1	0	0	0	0	22100000	248
0	0	1	0	0	0	9540000	105
0.5799000000000001	0	1	0	0	0	251000000	787
0	0	1	0	0	0	10300000	113
0	1	0	0	0	0	7320000	106
2.8661	0	1	0	99787800	0.7231	138000000	287
4.396599999999999	1	0	0	9066064	2.1232	4270000	42
0	0	0	1	0	0	7570000	17
36.4278	0	1	0	19399200	0.2192	88500000	373
67.095	0	1	0	173239440	6.5621	26400000	212
0	1	0	0	8000232.000000001	1.0753	7440000	88
37.1478	1	0	0	0	0	188000000	235
6.609800000000001	0	0	1	8808020.000000002	0.3566	24700000	228
34.1052	0	1	0	0	0	18800000	82
0	0	0	1	0	0	2200000	40
14.6921	0	0	1	0	0	1750000	14
12.1799	0	1	0	20005420	1.1239	17800000	67
0	0	1	0	0	0	3380000	122
33.6526	0	0	1	38663520	0.4144	93300000	476
0	0	1	0	0	0	121000000	279
0	0	1	0	0	0	1550000	22
0	0	0	1	0	0	3740000	44
0	0	1	0	6534200	0.0883	74000000	315
0	1	0	0	0	0	1500000	22
0.1374	0	1	0	0	0	14700000	41
0	0	0	1	0	0	8010000	44
36.3655	0	0	1	35929980	0.7393000000000001	48600000	307
20.6386	0	0	1	0	0	135000000	553
20.0184	0	0	1	14547890	0.3407	42699999.99999999	225
76.24929999999999	0	0	1	994135999.9999999	4.7795	208000000	973
15.0905	1	0	0	7924200	0.0562	141000000	164
54.66560000000001	0	0	1	0	0	10900000	64
1.9211	0	1	0	0	0	1700000	16
0	0	0	1	0	0	961999.9999999999	23
0.5594	1	0	0	0	0	47600000	60
8.538	0	0	1	0	0	114000000	696
0	0	0	1	14919060	0.1851	80600000	207
0.0023	0	1	0	0	0	131000000	483
0	0	0	1	0	0	7090000	20
66.3506	1	0	0	0	0	67300000	555
0	0	0	1	0	0	913000.0000000001	29
0	0	0	1	0	0	44100000	99
10.8009	0	0	1	0	0	171000000	297
71.2396	0	1	0	163011200	1.936	84200000	492
45.7789	0	1	0	1499400	0.0588	25500000	220
68.19750000000001	1	0	0	0	0	15000000	123
35.5349	0	0	1	3001792	0.5696	5270000	59
16.4026	0	1	0	0	0	17500000	219
87.1673	0	0	1	4103000	0.11	37300000	231
11.2768	0	1	0	10376640	0.4804	21600000	117
2.8601	0	1	0	0	0	19100000	121
0.8031999999999999	1	0	0	163927150	7.0355	23300000	233
7.5835	0	0	1	106920	0.0324	3300000	33
0	0	1	0	0	0	563000	13
7.79	0	0	1	0	0	2110000	31
0	0	0	1	0	0	1270000	36
0	0	1	0	0	0	866000	20
0	0	1	0	0	0	416000	8
63.84950000000001	0	1	0	2569610.000000001	0.0293	87700000	411
0	0	0	1	0	0	13300000	36
13.4108	0	1	0	6350600	0.1124	56500000	672
85.70060000000001	0	1	0	55043559.99999999	1.9246	28600000	438
13.2106	0	0	1	0	0	1870000	20
20.0147	0	0	1	0	0	94800000	451
0	0	1	0	0	0	8680000	325
4.9552	0	1	0	0	0	183000000	671
0	0	1	0	0	0	1880000	22
1.1243	0	1	0	1763694	0.3078	5730000	43
0	0	1	0	0	0	2660000	19
12.1293	0	0	1	10639880	0.1844	57699999.99999999	80
0	0	1	0	0	0	618000	15
2.1633	0	1	0	0	0	2310000	37
4.5104	0	1	0	0	0	48400000	497
26.1114	0	1	0	49438119.99999999	1.4891	33200000	285
34.0415	0	1	0	0	0	1840000	29
0	0	1	0	0	0	1440000	21
63.0999	0	0	1	102231720	1.2258	83400000	741
63.3276	0	1	0	0	0	13000000	112
0.5357	0	1	0	0	0	1870000	26
0	0	1	0	0	0	44400000.00000001	109
1.5597	0	1	0	99996300	0.1233	811000000	2122
0	0	0	1	0	0	1170000	11
0	1	0	0	0	0	2800000	21
27.077	0	0	1	0	0	7440000	75
0	0	1	0	0	0	853999.9999999999	13
0	0	1	0	0	0	825000	13
3.2143	0	1	0	0	0	2180000	20
19.2863	0	1	0	0	0	2900000	68
11.7761	0	0	1	4973360	0.1498	33200000	235
0	1	0	0	0	0	283000	8
15.6539	1	0	0	38241600	7.44	5140000	34
0	0	1	0	14976000	0.0416	360000000	610
10.5791	0	1	0	0	0	1450000	22
41.4271	0	1	0	104678240	5.8808	17800000	141
3.8009	0	1	0	0	0	3160000	56
19.9238	0	1	0	0	0	1590000	26
0	0	1	0	0	0	377000	13
91.1322	0	1	0	2392461	1.5637	1530000	28
5.8249	0	1	0	0	0	2060000	17
7.487099999999999	0	1	0	0	0	701000	16
32.6755	0	0	1	0	0	1880000	17
0	0	1	0	0	0	327000	6
0	0	1	0	0	0	401999.9999999999	4
45.6777	0	1	0	0	0	19100000	174
0	0	0	1	739968600	5.0338	147000000	1040
4.5677	0	1	0	0	0	114000	2
45.5898	0	1	0	3322350	0.3105	10700000	182
9.6973	1	0	0	33687272	3.7766	8920000	43
1.3881	0	1	0	0	0	4440000	66
51.0733	0	0	1	10554138000	1.8387	5740000000	7403
0	0	0	1	0	0	6730000	47
0.0039	0	0	1	0	0	201000000	667
0	0	1	0	0	0	690000	14
10.0213	0	1	0	0	0	3150000	16
0	0	1	0	0	0	918000	17
14.211	0	1	0	0	0	6080000	68
21.9741	0	1	0	0	0	4400000	133
54.41740000000001	0	1	0	16689920	0.3068	54400000.00000001	368
29.0244	0	1	0	14014260	0.5989	23400000	238
27.78	0	1	0	36138750	0.6285	57500000	433
56.3499	0	1	0	0	0	24100000	160
0	0	1	0	0	0	5310000	86
0	0	1	0	0	0	855000.0000000001	11
15.7659	0	0	1	2886660	0.1106	26100000	202
4.777200000000001	0	1	0	0	0	523000.0000000001	9
0	0	1	0	0	0	1880000	31
0	0	1	0	0	0	2690000	25
0	0	1	0	0	0	184000	5
0	0	1	0	0	0	3850000	54
78.083	0	0	1	57500520.00000001	0.8382000000000001	68600000	375
0	0	0	1	0	0	6680000	40
37.6272	0	0	1	34773000	1.038	33500000	196
76.97699999999999	0	0	1	1810740000	0.3516	5150000000	10180
1.0552	0	0	1	0	0	6450000	94
0	0	1	0	0	0	26400000	161
26.9842	0	0	1	1703750000	0.7250000000000001	2350000000	6578
0	0	1	0	2684322	0.4542	5910000	23
14.1484	1	0	0	1548875000	12.391	125000000	464
87.42410000000001	1	0	0	8878023000	27.5715	322000000	1554
9.458500000000001	0	0	1	0	0	567000000	1131
59.1415	0	0	1	1780000	0.02	89000000	546
17.0529	0	1	0	0	0	30400000	216
1.7059	0	1	0	5359200	0.3045	17600000	143
0	0	1	0	369725	0.575	643000	11
61.266	0	1	0	0	0	80200000	243
77.19799999999999	0	1	0	56386650	2.8335	19900000	193
0	0	1	0	0	0	4580000	35
0	0	1	0	17991200	0.0523	344000000	759
40.5588	1	0	0	16305250	0.9424999999999999	17300000	41
21.907	0	0	1	105715500	1.639	64500000	240
67.86839999999999	1	0	0	133242610	1.5193	87700000	476
0	0	0	1	0	0	7190000	106
73.7628	0	0	1	0	0	46400000	405
10.9434	0	0	1	67624700	0.4729	143000000	239
