AGE	CAREPROV	CARESELF	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	EDUC	EMPLOYEE	FEMALE	FLEXSCHED	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	HOUSWORK	LABFORCE	LEISURE	MEDTIME	NORESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	TOTALWRK	UNEMPLYD	UNPAIDWK	VOLWORK	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR
51	0	170	0	0	0	0	1	0	2,5	1	1	0	0	1	1	0	2911,42	3	0	0	0	0	1	210	40	0	740	769,759	1	0	5	0	0	0	490	0	1	0	0	0	740	0	0	0	0	40	1	0
24	210	130	1	1	1	0	2	0	9	1	0	0	160	0	1	0	1882,14	5	0	10	0	380	1	380	10	0	0	342,621	1	0	5	0	0	0	680	220	1	20	0	0	380	0	380	0	0	20	1	0
35	0	110	0	0	0	0	2	0	17	0	1	0	40	0	1	0	3601,12	1	0	20	0	60	1	190	0	1	680	3232,29	0	0	15	0	0	0	510	20	1	60	0	0	740	0	60	0	6	0	1	0
50	10	50	1	0	0	0	1	0	6,5	0	1	0	10	0	1	0	5502,96	5	0	0	0	20	1	200	90	1	770	2205,47	0	0	9	0	0	0	450	60	1	0	0	0	790	0	20	0	25	0	1	0
82	0	110	0	0	0	1	1	25,18518519	6,5	0	0	0	151,1111111	0	1	0	760,95	2	0	163,7037037	1	340	0	610	120	0	0	0	0	0	15	0	0	0	490	380	1	0	0	1	340	0	340	0	0	0	0	0
37	390	110	2	2	2	0	1	0	17	1	1	0	0	1	1	0	2847,89	4	60	0	0	390	1	250	30	1	490	1723,23	0	1	15	0	0	0	310	50	1	0	0	0	880	0	390	0	30	35	1	0
47	0	160	0	0	0	1	1	0	8	1	1	0	193,1034483	1	1	0	1740,81	3	0	156,8965517	0	350	1	620	140	0	0	769,759	0	1	1	0	0	0	470	150	1	170	0	0	350	0	350	0	0	37,5	1	0
35	150	150	2	0	1	0	1	0	11	1	1	0	0	1	1	0	1248,25	4	0	20	0	170	1	270	120	0	610	1124,66	1	0	15	0	0	0	390	0	1	0	0	0	780	0	170	0	0	40	1	0
41	0	160	1	0	0	0	1	34,77272727	11	0	0	0	312,9545455	0	1	0	1248,25	3	0	162,2727273	1	510,0000001	0	399,9999999	110	0	0	0	0	0	16	0	0	0	530	20	1	110	0	0	510,0000001	0	510,0000001	0	0	0	1	0
56	0	120	0	0	0	0	3	200	8	1	0	0	130	0	1	0	2235,26	2	30	0	0	330	1	480	30	1	0	342,621	1	0	1	0	0	1	630	300	1	0	0	0	330	0	330	0	3	20	0	0
